"","age","gender","occup","ft_pt","freqmon1","own_motob","opinion_ban","opinion_ban1"
"1","18_25","male","private","student","8_10",5,"disagree",0.5
"2","26_35","male","state","fulltime","14_16",2,"disagree",0.75
"3","18_25","female","student","fulltime","8_10",0,"agree",1
"4","36_55","male","private","owner","17_20",4,"disagree",0.75
"5","18_25","male","state","parttime","14_16",1,"disagree",0.5
"6","36_55","male","state","fulltime","1_3",2,"disagree",0.75
"7","36_55","male","private","retired","more_20",3,"disagree",0.5
"8","56_75","female","student","student","4_7",3,"neutral",0.5
"9","36_55","female","student","owner","more_20",1,"disagree",0
"10","18_25","female","fdi","fulltime","more_20",1,"agree",0.5
"11","26_35","male","state","owner","more_20",3,"strongagree",0
"12","18_25","male","fdi","owner","more_20",4,"disagree",0.75
"13","18_25","male","state","student","11_13",2,"neutral",0.25
"14","18_25","female","private","owner","more_20",1,"neutral",0.25
"15","26_35","male","state","not","8_10",2,"neutral",0.25
"16","26_35","male","retired","fulltime","1_3",2,"agree",1
"17","26_35","female","state","parttime","more_20",0,"disagree",0.5
"18","18_25","female","state","owner","1_3",5,"strongagree",0.75
"19","less_18","male","student","retired","14_16",2,"agree",0.75
"20","26_35","male","state","student","4_7",2,"strongagree",0.75
"21","36_55","female","state","fulltime","more_20",2,"disagree",0.75
"22","18_25","male","private","fulltime","1_3",2,"agree",0.25
"23","18_25","male","retired","owner","8_10",1,"disagree",1
"24","18_25","female","fdi","student","11_13",3,"strongagree",0.5
"25","18_25","male","state","fulltime","4_7",2,"disagree",0.25
"26","18_25","male","state","not","8_10",2,"agree",0.75
"27","18_25","female","private","fulltime","17_20",2,"agree",0.25
"28","18_25","male","private","fulltime","1_3",2,"neutral",0.25
"29","more_75","male","student","fulltime","more_20",2,"agree",0.5
"30","18_25","male","state","fulltime","more_20",3,"disagree",0.75
"31","36_55","male","state","fulltime","more_20",2,"neutral",0.25
"32","56_75","male","student","fulltime","17_20",2,"agree",0.5
"33","26_35","male","private","fulltime","17_20",2,"strongagree",0.5
"34","18_25","female","state","parttime","17_20",2,"neutral",0.5
"35","26_35","male","private","fulltime","17_20",2,"neutral",0.25
"36","36_55","female","private","parttime","11_13",2,"neutral",0.5
"37","26_35","female","state","fulltime","17_20",3,"neutral",0.75
"38","26_35","male","private","owner","14_16",4,"agree",0.25
"39","36_55","female","state","student","11_13",2,"agree",0.5
"40","18_25","female","private","fulltime","17_20",2,"agree",0
"41","18_25","male","state","fulltime","17_20",2,"agree",0.25
"42","36_55","male","state","fulltime","more_20",3,"disagree",1
"43","18_25","female","fdi","parttime","more_20",3,"disagree",0.75
"44","18_25","female","private","student","14_16",0,"agree",0.25
"45","26_35","female","state","fulltime","11_13",2,"agree",0.75
"46","18_25","male","private","owner","11_13",2,"disagree",0.75
"47","18_25","male","fdi","retired","11_13",2,"disagree",0.75
"48","26_35","male","fdi","fulltime","17_20",2,"agree",0
"49","18_25","male","state","fulltime","17_20",3,"agree",0.75
"50","36_55","male","private","fulltime","14_16",2,"disagree",0.5
"51","26_35","female","student","fulltime","8_10",2,"disagree",0
"52","36_55","female","student","owner","11_13",1,"agree",1
"53","36_55","male","private","fulltime","14_16",1,"disagree",1
"54","26_35","female","fdi","owner","more_20",2,"strongdisagree",1
"55","36_55","male","state","fulltime","8_10",2,"disagree",0.75
"56","18_25","male","private","fulltime","8_10",2,"agree",0.75
"57","18_25","male","student","fulltime","14_16",2,"agree",0.75
"58","26_35","female","private","parttime","17_20",1,"agree",0.25
"59","26_35","male","state","retired","more_20",2,"agree",0.25
"60","36_55","male","state","student","more_20",3,"neutral",0.75
"61","36_55","female","private","student","1_3",2,"strongdisagree",0.75
"62","18_25","male","private","fulltime","more_20",1,"agree",0.25
"63","less_18","female","private","fulltime","more_20",0,"neutral",0.25
"64","26_35","female","student","owner","8_10",4,"neutral",0.25
"65","18_25","male","student","fulltime","11_13",2,"agree",1
"66","26_35","male","student","owner","8_10",1,"disagree",0.75
"67","36_55","male","student","fulltime","14_16",2,"strongagree",1
"68","26_35","female","private","fulltime","more_20",2,"neutral",0.5
"69","26_35","female","student","fulltime","17_20",2,"agree",0.5
"70","26_35","male","fdi","fulltime","8_10",2,"agree",0.75
"71","36_55","female","state","owner","17_20",1,"disagree",0.5
"72","36_55","male","state","fulltime","14_16",1,"disagree",0.25
"73","36_55","female","state","parttime","1_3",1,"agree",0.75
"74","18_25","female","private","student","14_16",2,"agree",0.75
"75","26_35","male","fdi","fulltime","17_20",1,"disagree",0.5
"76","18_25","female","state","retired","11_13",3,"neutral",0.25
"77","26_35","female","fdi","parttime","17_20",2,"neutral",0.25
"78","56_75","female","private","fulltime","14_16",4,"agree",1
"79","18_25","female","state","student","1_3",3,"agree",0.75
"80","26_35","female","state","retired","11_13",3,"disagree",0.75
"81","less_18","female","student","student","more_20",4,"agree",0.25
"82","26_35","female","private","fulltime","1_3",2,"disagree",0
"83","18_25","male","fdi","student","17_20",2,"neutral",0.5
"84","26_35","female","state","owner","8_10",3,"disagree",0.75
"85","26_35","female","state","fulltime","11_13",2,"disagree",0.75
"86","26_35","female","state","fulltime","11_13",4,"neutral",0.75
"87","18_25","female","retired","fulltime","4_7",1,"disagree",0.5
"88","36_55","male","state","fulltime","17_20",2,"disagree",0.25
"89","26_35","female","state","fulltime","17_20",1,"neutral",1
"90","18_25","female","private","student","8_10",2,"strongdisagree",0.5
"91","18_25","female","state","fulltime","8_10",4,"neutral",0.25
"92","18_25","female","student","fulltime","more_20",2,"agree",0.75
"93","26_35","male","state","owner","more_20",1,"neutral",0.5
"94","36_55","female","state","fulltime","14_16",3,"disagree",0.75
"95","more_75","female","retired","student","14_16",3,"disagree",0.5
"96","36_55","male","private","fulltime","more_20",3,"neutral",1
"97","56_75","male","student","fulltime","17_20",2,"agree",0.75
"98","36_55","female","state","fulltime","11_13",3,"disagree",0.25
"99","18_25","male","retired","student","14_16",2,"agree",0.75
"100","56_75","female","student","fulltime","more_20",1,"agree",0.25
"101","56_75","male","private","fulltime","14_16",0,"agree",0.5
"102","26_35","female","private","fulltime","more_20",2,"neutral",0.25
"103","36_55","male","private","fulltime","8_10",1,"agree",0.75
"104","26_35","female","private","fulltime","4_7",1,"strongdisagree",0.75
"105","18_25","male","state","fulltime","8_10",2,"agree",0.25
"106","36_55","female","private","fulltime","14_16",1,"neutral",0.25
"107","36_55","female","private","owner","11_13",1,"agree",0.75
"108","26_35","male","private","fulltime","14_16",1,"agree",1
"109","18_25","male","state","fulltime","14_16",4,"agree",0.75
"110","36_55","female","student","student","14_16",3,"agree",0.75
"111","18_25","male","fdi","owner","14_16",3,"disagree",0.5
"112","26_35","male","state","fulltime","14_16",2,"disagree",0.75
"113","36_55","male","state","fulltime","14_16",4,"agree",0.75
"114","18_25","female","student","student","more_20",3,"disagree",0.75
"115","56_75","female","fdi","owner","14_16",2,"strongdisagree",0.5
"116","56_75","female","student","parttime","more_20",2,"agree",0.5
"117","26_35","female","state","parttime","14_16",2,"agree",0.25
"118","36_55","male","private","fulltime","17_20",2,"agree",0.25
"119","18_25","female","student","student","14_16",1,"disagree",0.5
"120","18_25","female","student","fulltime","11_13",2,"agree",0.75
"121","26_35","female","fdi","owner","14_16",1,"agree",0.25
"122","26_35","female","student","fulltime","more_20",2,"disagree",1
"123","56_75","female","fdi","fulltime","14_16",4,"strongdisagree",0.75
"124","26_35","female","state","fulltime","11_13",2,"disagree",0.5
"125","26_35","female","private","fulltime","14_16",2,"neutral",0.75
"126","18_25","male","fdi","fulltime","8_10",2,"strongagree",0.75
"127","36_55","female","private","owner","11_13",2,"agree",1
"128","26_35","female","private","student","17_20",2,"strongagree",0.25
"129","26_35","male","private","parttime","more_20",1,"disagree",0.75
"130","18_25","female","state","fulltime","more_20",3,"agree",0.75
"131","18_25","male","private","owner","14_16",3,"neutral",0.5
"132","26_35","male","state","fulltime","17_20",2,"agree",0
"133","36_55","female","fdi","owner","more_20",2,"strongdisagree",1
"134","18_25","female","private","fulltime","14_16",1,"disagree",0.75
"135","18_25","female","state","fulltime","14_16",1,"neutral",0.75
"136","26_35","female","fdi","fulltime","14_16",2,"strongdisagree",0.25
"137","26_35","male","state","parttime","1_3",1,"agree",0.75
"138","26_35","female","fdi","fulltime","14_16",3,"neutral",0.75
"139","26_35","female","student","owner","17_20",2,"disagree",0.25
"140","18_25","male","retired","fulltime","more_20",1,"disagree",0.25
"141","26_35","male","private","fulltime","17_20",2,"agree",0
"142","26_35","female","student","owner","1_3",1,"disagree",0.75
"143","less_18","male","state","owner","17_20",1,"disagree",0.25
"144","18_25","male","student","owner","17_20",2,"disagree",0.75
"145","36_55","female","student","fulltime","8_10",3,"neutral",1
"146","26_35","female","private","not","17_20",2,"neutral",0.5
"147","26_35","male","private","owner","8_10",2,"neutral",1
"148","26_35","male","student","fulltime","1_3",2,"agree",0
"149","36_55","male","retired","fulltime","more_20",1,"neutral",0.75
"150","18_25","male","private","student","11_13",3,"agree",0.75
"151","18_25","female","state","fulltime","4_7",3,"disagree",0.5
"152","26_35","female","state","owner","17_20",1,"agree",0.5
"153","26_35","female","fdi","fulltime","more_20",1,"disagree",0.75
"154","36_55","female","private","retired","14_16",2,"disagree",0.75
"155","18_25","female","state","fulltime","17_20",2,"strongdisagree",0.5
"156","36_55","male","state","owner","14_16",2,"disagree",0.5
"157","26_35","female","state","parttime","14_16",2,"agree",0.5
"158","36_55","female","state","owner","14_16",2,"strongagree",0.5
"159","36_55","male","private","fulltime","14_16",2,"agree",0.75
"160","26_35","male","private","fulltime","14_16",1,"agree",0
"161","18_25","female","retired","fulltime","14_16",2,"strongagree",0.5
"162","less_18","male","student","owner","14_16",2,"disagree",0.75
"163","36_55","male","state","fulltime","14_16",2,"neutral",0.5
